frequency,variable,count,experiments
Yearly,soil carbon content,6,"rcp60, midHolocene, esmFdbk1, lgm, esmFixClim1, rcp26, rcp85, historical, esmHistorical, rcp45, 1pctCO2, esmControl"
Yearly,air pressure at convective cloud base,2,"midHolocene, lgm"
Yearly,sea floor depth below geoid,2,"midHolocene, lgm"
Yearly,atmosphere heat diffusivity,2,"midHolocene, lgm"
Yearly,surface upwelling longwave flux in air,4,"lgm, midHolocene, historical, decadal"
Yearly,litter carbon flux,2,"midHolocene, lgm"
Yearly,sea ice thickness,3,"midHolocene, piControl, historical, lgm"
Yearly,surface downward heat flux in sea water,2,"midHolocene, lgm"
Yearly,surface snow melt flux,2,"midHolocene, lgm"
Yearly,sea water potential density,4,"midHolocene, lgm, piControl, rcp85, abrupt4xCO2, historical, rcp45, 1pctCO2"
Yearly,heterotrophic respiration carbon flux,5,"rcp60, midHolocene, esmFdbk1, lgm, esmFixClim1, rcp26, rcp85, historical, rcp45, 1pctCO2"
Yearly,mass fraction of convective cloud ice in air,2,"midHolocene, lgm"
Yearly,specific humidity,3,"midHolocene, historical, lgm"
Yearly,water evaporation flux from canopy,2,"midHolocene, lgm"
Yearly,relative humidity,3,"midHolocene, historical, lgm"
Yearly,stratiform cloud area fraction in atmosphere layer,2,"midHolocene, lgm"
Yearly,mass fraction of stratiform cloud liquid water in air,2,"midHolocene, lgm"
Yearly,surface net downward longwave flux,5,"midHolocene, lgm, 1pctCO2, abrupt4xCO2, historical, piControl, decadal"
Yearly,precipitation flux,22,"amip, rcp60, midHolocene, past1000, lgm, rcp26, rcp85, abrupt4xCO2, historical, 1pctCO2, esmHistorical, historicalGHG, rcp45, piControl, decadal"
Yearly,tendency of air temperature due to radiative heating,2,"midHolocene, lgm"
Yearly,rainfall flux,11,"midHolocene, lgm, past1000, rcp26, rcp85, historical, historicalGHG, rcp45"
Yearly,surface runoff flux,5,"piControl, midHolocene, lgm, past1000, rcp85, abrupt4xCO2, historical, historicalGHG, rcp45, 1pctCO2"
Yearly,soil temperature,2,"midHolocene, lgm"
Yearly,surface temperature,17,"lgm, rcp45, rcp60, midHolocene, rcp85, past1000, esmFdbk1, esmFixClim1, rcp26, piControl, historicalExt, historicalMisc, historicalNat, abrupt4xCO2, historical, esmHistorical, historicalGHG, amip, 1pctCO2, decadal"
Yearly,surface snow amount,3,"midHolocene, historical, lgm"
Yearly,air temperature,26,"sstClimAerosol, rcp60, rcp26, rcp45, 1pctCO2, past1000, rcp85, abrupt4xCO2, esmHistorical, historicalGHG, decadal, midHolocene, lgm, historicalExt, historicalNat, piControl, esmControl, sstClim, esmFdbk1, esmFixClim1, historicalMisc, historical"
Yearly,tendency of specific humidity due to convection,2,"midHolocene, lgm"
Yearly,atmosphere water vapor content,3,"midHolocene, historical, lgm"
Yearly,time,3,"midHolocene, lgm, rcp85, historicalMisc, historicalNat, historical, historicalExt, historicalGHG, piControl"
Yearly,tendency of air temperature,4,"lgm, midHolocene, historical, decadal"
Yearly,root depth,2,"midHolocene, lgm"
Sub-Hourly,surface downwelling longwave flux in air,1,"rcp85, rcp45, amip, historical, piControl"
Sub-Hourly,toa outgoing longwave flux assuming clear sky,1,"rcp85, rcp45, amip, historical, piControl"
Sub-Hourly,cloud area fraction,1,"rcp85, rcp45, amip, historical, piControl"
Sub-Hourly,surface downwelling shortwave flux in air assuming clear sky,1,"rcp85, rcp45, amip, historical, piControl"
Sub-Hourly,toa outgoing shortwave flux,1,"rcp85, rcp45, amip, historical, piControl"
Sub-Hourly,air temperature,2,"rcp85, rcp45, piControl, historical, amip"
Sub-Hourly,surface downwelling longwave flux in air assuming clear sky,1,"rcp85, rcp45, amip, historical, piControl"
Sub-Hourly,cloud area fraction in atmosphere layer,1,"rcp85, rcp45, amip, historical, piControl"
Sub-Hourly,net downward radiative flux at top of atmosphere model,1,"rcp85, rcp45, amip, historical, piControl"
Sub-Hourly,toa outgoing longwave flux,1,"rcp85, rcp45, amip, historical, piControl"
Sub-Hourly,eastward wind,1,piControl
Sub-Hourly,surface net downward longwave flux,1,"rcp85, rcp45, amip, historical, piControl"
Sub-Hourly,toa outgoing shortwave flux assuming clear sky,1,"rcp85, rcp45, amip, historical, piControl"
Sub-Hourly,precipitation flux,1,"rcp85, rcp45, amip, historical, piControl"
Sub-Hourly,northward wind,1,piControl
Sub-Hourly,surface downwelling shortwave flux in air,1,"rcp85, rcp45, amip, historical, piControl"
Sub-Hourly,toa incoming shortwave flux,1,"rcp85, rcp45, amip, historical, piControl"
Sub-Hourly,rainfall flux,1,piControl
3-hourly,cloud area fraction,1,amip
3-hourly,air pressure,2,amip
3-hourly,tendency of air temperature due to advection,1,amip
3-hourly,air pressure at sea level,2,amip
3-hourly,surface upward latent heat flux,2,"historical, rcp85"
3-hourly,land area fraction,2,"historical, rcp85"
3-hourly,specific humidity,4,"amip, historical, rcp85"
3-hourly,net downward radiative flux at top of atmosphere model,1,amip
3-hourly,eastward wind,5,"amip, rcp45, piControl, historical, rcp85"
3-hourly,toa outgoing shortwave flux,1,amip
3-hourly,water evaporation flux,1,"historical, rcp85"
3-hourly,surface upward sensible heat flux,2,"historical, rcp85"
3-hourly,toa incoming shortwave flux,1,amip
