frequency,variable,count,experiments
6-hourly,mass fraction of cloud ice in air,1,"amip4K, amip4xCO2, 1pctCO2, amipFuture, amip"
Climatology Monthly Mean,toa outgoing longwave flux assuming clear sky,2,"piControl, midHolocene, historical, lgm"
Climatology Monthly Mean,cloud area fraction,2,"amip, historical"
Climatology Monthly Mean,ocean mixed layer thickness defined by sigma t,3,"midHolocene, piControl, historical, decadal"
Climatology Monthly Mean,surface upwelling shortwave flux in air assuming clear sky,2,"piControl, amip, midHolocene, lgm"
Climatology Monthly Mean,air pressure,2,"amip, historical"
Climatology Monthly Mean,area fraction,1,"rcp60, rcp26, piControl, rcp85, historical, esmHistorical, rcp45, esmrcp85, esmControl"
Climatology Monthly Mean,geopotential height,3,"historicalGHG, rcp45, historical, rcp85"
Climatology Monthly Mean,land ice area fraction,1,"piControl, midHolocene, lgm"
Climatology Monthly Mean,surface upwelling longwave flux in air,1,"piControl, midHolocene, lgm"
Climatology Monthly Mean,air pressure at sea level,10,"midHolocene, amipFuture, rcp45, amip, historical"
Climatology Monthly Mean,atmosphere cloud condensed water content,1,"amip, historical"
Climatology Monthly Mean,sea ice thickness,2,"midHolocene, piControl, historical"
Climatology Monthly Mean,sea water salinity,2,"rcp45, piControl, historical, rcp85"
Climatology Monthly Mean,land area fraction,3,"midHolocene, lgm, amip, historical, esmHistorical, piControl"
Climatology Monthly Mean,sea water potential temperature,4,"rcp60, midHolocene, rcp26, piControl, rcp85, historical, esmHistorical, rcp45, esmrcp85, esmControl, decadal"
Climatology Monthly Mean,runoff flux,1,"esmHistorical, amip, historical"
Climatology Monthly Mean,sea area fraction,2,"rcp60, midHolocene, lgm, rcp26, piControl, rcp85, historical, esmHistorical, rcp45, esmrcp85, esmControl"
Climatology Monthly Mean,surface albedo,1,"esmHistorical, amip, historical"
Climatology Monthly Mean,specific humidity,5,"rcp60, amipFuture, rcp85, historical, historicalGHG, rcp45, amip"
Climatology Monthly Mean,tendency of specific humidity,1,historical
Climatology Monthly Mean,eastward wind,13,"piControl, rcp60, midHolocene, lgm, amipFuture, rcp85, historical, historicalGHG, rcp45, amip"
Climatology Monthly Mean,surface downwelling longwave flux in air assuming clear sky,2,"historical, amip, piControl, midHolocene, lgm"
Climatology Monthly Mean,surface downwelling shortwave flux in air,3,"midHolocene, lgm, amip, historical, esmHistorical, piControl"
Climatology Monthly Mean,water evaporation flux,2,"rcp85, historical, esmHistorical, historicalGHG, rcp45, amip"
Climatology Monthly Mean,surface upwelling shortwave flux in air,1,"piControl, midHolocene, lgm"
Climatology Monthly Mean,ocean mixed layer thickness defined by mixing scheme,2,"midHolocene, piControl, historical"
Climatology Monthly Mean,sea water potential density,1,"piControl, historical"
Climatology Monthly Mean,toa incoming shortwave flux,1,"piControl, midHolocene, lgm"
Climatology Monthly Mean,relative humidity,3,"historicalGHG, rcp45, historical, rcp85"
Climatology Monthly Mean,surface downwelling shortwave flux in air assuming clear sky,2,"piControl, amip, midHolocene, lgm"
Climatology Monthly Mean,sea surface temperature,10,"amip, rcp60, midHolocene, lgm, amipFuture, rcp85, esmrcp85, rcp26, historical, esmHistorical, historicalGHG, rcp45, piControl, esmControl, decadal"
Climatology Monthly Mean,sea surface salinity,2,"midHolocene, piControl, historical"
Climatology Monthly Mean,precipitation flux,24,"esmrcp85, rcp60, midHolocene, past1000, lgm, rcp26, rcp85, piControl, aquaControl, historical, esmHistorical, historicalGHG, rcp45, amip, esmControl, decadal"
Climatology Monthly Mean,northward wind,9,"piControl, rcp60, midHolocene, lgm, amipFuture, rcp85, historical, historicalGHG, rcp45, amip"
Climatology Monthly Mean,sea ice area fraction,4,"midHolocene, piControl, historical, decadal"
Climatology Monthly Mean,atmosphere cloud ice content,1,"amip, historical"
Climatology Monthly Mean,downwelling shortwave flux in air,1,historical
Climatology Monthly Mean,rainfall flux,5,"rcp60, past1000, amipFuture, rcp85, historical, historicalGHG, rcp45, amip"
Climatology Monthly Mean,surface downwelling longwave flux in air,2,"historical, amip, piControl, midHolocene, lgm"
Climatology Monthly Mean,surface runoff flux,2,"historicalGHG, past1000, historical, rcp85"
Climatology Monthly Mean,toa outgoing shortwave flux,2,"piControl, midHolocene, historical, lgm"
Climatology Monthly Mean,sea water y velocity,1,"piControl, historical"
Climatology Monthly Mean,wind speed,5,"historicalGHG, rcp45, historical, rcp85"
Climatology Monthly Mean,surface air pressure,4,"historicalGHG, decadal, amip, historical, past1000"
Climatology Monthly Mean,surface temperature,18,"rcp60, past1000, rcp26, piControl, esmrcp85, rcp85, historical, esmHistorical, historicalGHG, rcp45, amip, esmControl, decadal"
Climatology Monthly Mean,air temperature,25,"piControl, midHolocene, past1000, lgm, rcp26, rcp85, amipFuture, historical, historicalGHG, rcp45, amip"
Climatology Monthly Mean,toa outgoing longwave flux,2,"piControl, midHolocene, historical, lgm"
Climatology Monthly Mean,atmosphere water vapor content,2,"historicalGHG, rcp45, historical, rcp85"
Climatology Monthly Mean,time,1,"amip, historical"
Climatology Monthly Mean,toa outgoing shortwave flux assuming clear sky,2,"piControl, midHolocene, historical, lgm"
Climatology Monthly Mean,isccp cloud area fraction,1,amip
Climatology Monthly Mean,surface snow area fraction,1,historical
Climatology Monthly Mean,tendency of air temperature,2,"piControl, midHolocene, historical, lgm"
Climatology Monthly Mean,sea water x velocity,2,"piControl, historical, decadal"
Fixed,toa outgoing longwave flux assuming clear sky,2,"1pctCO2, rcp60, midHolocene, lgm, rcp26, amip, rcp85, abrupt4xCO2, historical, rcp45, piControl"
Fixed,cloud area fraction,2,"1pctCO2, rcp45, rcp60, rcp26, amip, abrupt4xCO2, historical, rcp85, piControl"
Fixed,gross primary productivity of carbon,1,historical
Fixed,surface upwelling shortwave flux in air assuming clear sky,3,"1pctCO2, rcp60, midHolocene, lgm, rcp26, amip, rcp85, abrupt4xCO2, historical, rcp45, piControl"
Fixed,air pressure,1,"1pctCO2, rcp60, rcp26, amip, rcp85, abrupt4xCO2, historical, rcp45, piControl"
Fixed,area fraction,2,"1pctCO2, rcp60, rcp26, amip, rcp85, abrupt4xCO2, historical, rcp45, piControl"
Fixed,geopotential height,1,"1pctCO2, rcp60, rcp26, amip, rcp85, abrupt4xCO2, historical, rcp45, piControl"
Fixed,surface downward latent heat flux,1,"abrupt4xCO2, piControl"
Fixed,surface altitude,1,"rcp45, rcp60, rcp26, historical, rcp85"
Fixed,downwelling longwave flux in air,1,rcp45
Fixed,northward wind,1,"piControl, midHolocene, lgm"
Fixed,sea ice thickness,1,rcp45
Fixed,sea water salinity,3,"piControl, rcp60, esmFdbk1, esmFixClim1, rcp85, rcp45, 1pctCO2"
Fixed,surface upward latent heat flux,2,"piControl, abrupt4xCO2, historical, rcp85"
Fixed,land area fraction,6,"amip, piControl, rcp60, midHolocene, lgm, rcp26, rcp85, abrupt4xCO2, historical, rcp45, 1pctCO2"
Fixed,sea water potential temperature,4,"rcp60, esmFdbk1, esmFixClim1, piControl, rcp85, abrupt4xCO2, rcp45, 1pctCO2"
Fixed,sea area fraction,3,"1pctCO2, rcp60, midHolocene, lgm, rcp26, amip, rcp85, abrupt4xCO2, historical, rcp45, piControl"
Fixed,surface upwelling longwave flux in air,4,"1pctCO2, rcp45, rcp60, midHolocene, lgm, rcp26, amip, abrupt4xCO2, historical, rcp85, piControl"
Fixed,specific humidity,2,"1pctCO2, rcp45, rcp60, rcp26, amip, abrupt4xCO2, historical, rcp85, piControl"
Fixed,net primary productivity of carbon,2,"1pctCO2, rcp60, rcp26, amip, rcp85, abrupt4xCO2, historical, rcp45, piControl"
Fixed,surface downward heat flux in sea water,1,"abrupt4xCO2, piControl"
Fixed,net downward radiative flux at top of atmosphere model,1,"1pctCO2, rcp60, rcp26, amip, rcp85, abrupt4xCO2, historical, rcp45, piControl"
Fixed,surface downwelling longwave flux in air assuming clear sky,3,"1pctCO2, rcp60, midHolocene, lgm, rcp26, amip, rcp85, abrupt4xCO2, historical, rcp45, piControl"
Fixed,surface upward sensible heat flux,2,"piControl, abrupt4xCO2, historical, rcp85"
Fixed,eastward wind,2,"rcp45, piControl, midHolocene, lgm"
Fixed,surface downwelling shortwave flux in air,4,"1pctCO2, rcp45, rcp60, midHolocene, lgm, rcp26, amip, abrupt4xCO2, historical, rcp85, piControl"
Fixed,surface upwelling shortwave flux in air,4,"1pctCO2, rcp45, rcp60, midHolocene, lgm, rcp26, amip, abrupt4xCO2, historical, rcp85, piControl"
Fixed,plant respiration carbon flux,1,historical
Fixed,sea water potential density,1,"rcp45, rcp60, rcp85"
Fixed,toa outgoing shortwave flux,2,"1pctCO2, rcp60, midHolocene, lgm, rcp26, amip, rcp85, abrupt4xCO2, historical, rcp45, piControl"
Fixed,toa incoming shortwave flux,2,"1pctCO2, rcp60, midHolocene, lgm, rcp26, amip, rcp85, abrupt4xCO2, historical, rcp45, piControl"
Fixed,surface net downward longwave flux,4,"1pctCO2, rcp45, rcp60, rcp26, amip, abrupt4xCO2, historical, rcp85, piControl"
Fixed,cloud area fraction in atmosphere layer,1,"1pctCO2, rcp60, rcp26, amip, rcp85, abrupt4xCO2, historical, rcp45, piControl"
Fixed,surface downwelling shortwave flux in air assuming clear sky,3,"1pctCO2, rcp60, midHolocene, lgm, rcp26, amip, rcp85, abrupt4xCO2, historical, rcp45, piControl"
Fixed,surface downward eastward stress,1,rcp45
Fixed,land ice area fraction,3,"1pctCO2, rcp45, rcp60, midHolocene, lgm, rcp26, amip, abrupt4xCO2, historical, rcp85, piControl"
Fixed,sea surface salinity,3,"1pctCO2, rcp60, esmFdbk1, esmFixClim1, rcp26, amip, rcp85, abrupt4xCO2, historical, rcp45, piControl"
Fixed,precipitation flux,3,"amip, piControl, rcp60, midHolocene, lgm, rcp26, rcp85, abrupt4xCO2, historical, rcp45, 1pctCO2"
Fixed,litter carbon content,1,historical
Fixed,sea ice area fraction,3,"piControl, esmFdbk1, esmFixClim1, rcp85, historical, rcp45, 1pctCO2"
Fixed,surface downward northward stress,1,rcp45
Fixed,downwelling shortwave flux in air,1,rcp45
Fixed,surface downwelling longwave flux in air,4,"1pctCO2, rcp45, rcp60, midHolocene, lgm, rcp26, amip, abrupt4xCO2, historical, rcp85, piControl"
Fixed,soil carbon content,2,"1pctCO2, rcp60, rcp26, amip, rcp85, abrupt4xCO2, historical, rcp45, piControl"
Fixed,soil moisture content,1,historical
Fixed,wind speed,1,"historical, rcp85"
Fixed,surface air pressure,3,"1pctCO2, rcp45, rcp60, lgm, rcp26, amip, abrupt4xCO2, historical, rcp85, piControl"
Fixed,soil temperature,1,historical
Fixed,surface temperature,5,"amip, piControl, rcp60, esmFdbk1, esmFixClim1, rcp26, rcp85, abrupt4xCO2, historical, rcp45, 1pctCO2"
Fixed,surface downward sensible heat flux,1,"abrupt4xCO2, piControl"
Fixed,air temperature,7,"amip, piControl, rcp60, midHolocene, lgm, rcp26, rcp85, abrupt4xCO2, historical, historicalExt, rcp45, 1pctCO2"
Fixed,toa outgoing longwave flux,2,"1pctCO2, rcp60, midHolocene, lgm, rcp26, amip, rcp85, abrupt4xCO2, historical, rcp45, piControl"
Fixed,time,2,"1pctCO2, rcp45, rcp60, rcp26, amip, abrupt4xCO2, historical, rcp85, piControl"
Fixed,toa outgoing shortwave flux assuming clear sky,2,"1pctCO2, rcp60, midHolocene, lgm, rcp26, amip, rcp85, abrupt4xCO2, historical, rcp45, piControl"
Fixed,tendency of air temperature,1,"piControl, midHolocene, lgm"
Fixed,sea surface temperature,5,"1pctCO2, rcp60, midHolocene, lgm, esmFdbk1, esmFixClim1, rcp26, amip, rcp85, abrupt4xCO2, historical, rcp45, piControl"
